Part	Date	Quantity
AC005	2013-05-01	4507
AC005	2013-06-03	4748
AC005	2013-07-01	5807
AC005	2013-08-01	4767
AC005	2013-09-02	4775
AC005	2013-10-01	6003
AC005	2013-11-01	5097
AC005	2013-12-02	5802
AC005	2014-01-01	4992
AC005	2014-02-03	4795
AC005	2014-03-03	5645
AC005	2014-04-01	4924
AC005	2014-05-01	4686
AC005	2014-06-01	5072
AC005	2014-07-02	5454
AC005	2014-08-02	5001
AC005	2014-09-02	4639
AC005	2014-10-03	5009
AC005	2014-11-03	5391
AC005	2014-12-04	4938
AC005	2015-01-04	4577
AC005	2015-02-04	4946
AC005	2015-03-07	5329
AC005	2015-04-01	4875
AC005	2015-05-02	4514
AC005	2015-06-02	4884
AC005	2015-07-03	5266
AC005	2015-08-03	4813
AC005	2015-09-03	4451
AC005	2015-10-04	4821
AC006	2013-05-01	40032
AC006	2013-06-03	40499
AC006	2013-07-01	49753
AC006	2013-08-01	41923
AC006	2013-09-02	40808
AC006	2013-10-01	50166
AC006	2013-11-01	43480
AC006	2013-12-02	51209
AC006	2014-01-01	43882
AC006	2014-02-03	42301
AC006	2014-03-03	51435
AC006	2014-04-01	44332
AC006	2014-05-01	42987
AC006	2014-06-01	45209
AC006	2014-07-02	49639
AC006	2014-08-02	46209
AC006	2014-09-02	43397
AC006	2014-10-03	45756
AC006	2014-11-03	50187
AC006	2014-12-04	46757
AC006	2015-01-04	43944
AC006	2015-02-04	46303
AC006	2015-03-07	50734
AC006	2015-04-01	47304
AC006	2015-05-02	44492
AC006	2015-06-02	46850
AC006	2015-07-03	51281
AC006	2015-08-03	47851
AC006	2015-09-03	45039
AC006	2015-10-04	47398
AC007	2013-05-01	50204
AC007	2013-06-03	52666
AC007	2013-07-01	64942
AC007	2013-08-01	54392
AC007	2013-09-02	54381
AC007	2013-10-01	68019
AC007	2013-11-01	58025
AC007	2013-12-02	68645
AC007	2014-01-01	58578
AC007	2014-02-03	57689
AC007	2014-03-03	71769
AC007	2014-04-01	60691
AC007	2014-05-01	58551
AC007	2014-06-01	62555
AC007	2014-07-02	68947
AC007	2014-08-02	63515
AC007	2014-09-02	59627
AC007	2014-10-03	63989
AC007	2014-11-03	70381
AC007	2014-12-04	64949
AC007	2015-01-04	61060
AC007	2015-02-04	65422
AC007	2015-03-07	71814
AC007	2015-04-01	66382
AC007	2015-05-02	62494
AC007	2015-06-02	66856
AC007	2015-07-03	73248
AC007	2015-08-03	67816
AC007	2015-09-03	63927
AC007	2015-10-04	68289
AC008	2013-05-01	24360
AC008	2013-06-03	24960
AC008	2013-07-01	30830
AC008	2013-08-01	25397
AC008	2013-09-02	25377
AC008	2013-10-01	32262
AC008	2013-11-01	27742
AC008	2013-12-02	32007
AC008	2014-01-01	27903
AC008	2014-02-03	27392
AC008	2014-03-03	33435
AC008	2014-04-01	28716
AC008	2014-05-01	27712
AC008	2014-06-01	29657
AC008	2014-07-02	32500
AC008	2014-08-02	29889
AC008	2014-09-02	28228
AC008	2014-10-03	30345
AC008	2014-11-03	33188
AC008	2014-12-04	30577
AC008	2015-01-04	28916
AC008	2015-02-04	31033
AC008	2015-03-07	33876
AC008	2015-04-01	31265
AC008	2015-05-02	29604
AC008	2015-06-02	31720
AC008	2015-07-03	34563
AC008	2015-08-03	31953
AC008	2015-09-03	30291
AC008	2015-10-04	32408
AC009	2013-05-01	5244
AC009	2013-06-03	5577
AC009	2013-07-01	6850
AC009	2013-08-01	5738
AC009	2013-09-02	5678
AC009	2013-10-01	7076
AC009	2013-11-01	6016
AC009	2013-12-02	6933
AC009	2014-01-01	6058
AC009	2014-02-03	5723
AC009	2014-03-03	7282
AC009	2014-04-01	5966
AC009	2014-05-01	5798
AC009	2014-06-01	6119
AC009	2014-07-02	6809
AC009	2014-08-02	6125
AC009	2014-09-02	5767
AC009	2014-10-03	6077
AC009	2014-11-03	6767
AC009	2014-12-04	6083
AC009	2015-01-04	5724
AC009	2015-02-04	6035
AC009	2015-03-07	6725
AC009	2015-04-01	6041
AC009	2015-05-02	4993
AC009	2015-06-02	5993
AC009	2015-07-03	6682
AC009	2015-08-03	5999
AC009	2015-09-03	5640
AC009	2015-10-04	5951
